step,mloss,gloss,loss
100.0,0.0,0.7972,0.7972
200.0,0.0,0.6148,0.6148
300.0,0.0,0.4955,0.4955
400.0,0.0,0.4099,0.4099
500.0,0.0,0.3613,0.3613
600.0,0.0,0.3318,0.3318
700.0,0.0,0.3094,0.3094
800.0,0.0,0.2931,0.2931
900.0,0.0,0.2809,0.2809
1000.0,0.0,0.2685,0.2685
1100.0,0.0,0.2594,0.2594
1200.0,0.0,0.2512,0.2512
1300.0,0.0,0.2451,0.2451
1400.0,0.0,0.24,0.24
1500.0,0.0,0.2324,0.2324
1600.0,0.0,0.2286,0.2286
1700.0,0.0,0.2236,0.2236
1800.0,0.0,0.2195,0.2195
1900.0,0.0,0.2168,0.2168
2000.0,0.0,0.2126,0.2126
2100.0,0.0,0.21,0.21
2200.0,0.0,0.2062,0.2062
2300.0,0.0,0.2034,0.2034
2400.0,0.0,0.2012,0.2012
2500.0,0.0,0.1993,0.1993
2600.0,0.0,0.1969,0.1969
2700.0,0.0,0.1953,0.1953
2800.0,0.0,0.1932,0.1932
2900.0,0.0,0.1918,0.1918
3000.0,0.0,0.1907,0.1907
3100.0,0.0,0.1878,0.1878
3200.0,0.0,0.1867,0.1867
3300.0,0.0,0.1853,0.1853
3400.0,0.0,0.1839,0.1839
3500.0,0.0,0.1827,0.1827
3600.0,0.0,0.1818,0.1818
3700.0,0.0,0.1807,0.1807
3800.0,0.0,0.1791,0.1791
3900.0,0.0,0.1784,0.1784
4000.0,0.0,0.1771,0.1771
4100.0,0.0,0.1765,0.1765
4200.0,0.0,0.1753,0.1753
4300.0,0.0,0.1744,0.1744
4400.0,0.0,0.1737,0.1737
4500.0,0.0,0.173,0.173
4600.0,0.0,0.1722,0.1722
4700.0,0.0,0.1716,0.1716
4800.0,0.0,0.1711,0.1711
4900.0,0.0,0.1708,0.1708
5000.0,0.0,0.1703,0.1703
