step,mloss,gloss,loss
100.0,0.0,0.9547,0.9547
200.0,0.0,0.8357,0.8357
300.0,0.0,0.7628,0.7628
400.0,0.0,0.718,0.718
500.0,0.0,0.6749,0.6749
600.0,0.0,0.6457,0.6457
700.0,0.0,0.6183,0.6183
800.0,0.0,0.6062,0.6062
900.0,0.0,0.5939,0.5939
1000.0,0.0,0.5817,0.5817
1100.0,0.0,0.5687,0.5687
1200.0,0.0,0.5583,0.5583
1300.0,0.0,0.5479,0.5479
1400.0,0.0,0.5339,0.5339
1500.0,0.0,0.5269,0.5269
1600.0,0.0,0.5166,0.5166
1700.0,0.0,0.5111,0.5111
1800.0,0.0,0.5042,0.5042
1900.0,0.0,0.4931,0.4931
2000.0,0.0,0.4847,0.4847
2100.0,0.0,0.477,0.477
2200.0,0.0,0.4706,0.4706
2300.0,0.0,0.4653,0.4653
2400.0,0.0,0.4612,0.4612
2500.0,0.0,0.4529,0.4529
2600.0,0.0,0.4494,0.4494
2700.0,0.0,0.4452,0.4452
2800.0,0.0,0.44,0.44
2900.0,0.0,0.4407,0.4407
3000.0,0.0,0.4333,0.4333
3100.0,0.0,0.4293,0.4293
3200.0,0.0,0.4274,0.4274
3300.0,0.0,0.4216,0.4216
3400.0,0.0,0.4157,0.4157
3500.0,0.0,0.4166,0.4166
3600.0,0.0,0.4096,0.4096
3700.0,0.0,0.4118,0.4118
3800.0,0.0,0.4084,0.4084
3900.0,0.0,0.4075,0.4075
4000.0,0.0,0.4014,0.4014
4100.0,0.0,0.3993,0.3993
4200.0,0.0,0.398,0.398
4300.0,0.0,0.3975,0.3975
4400.0,0.0,0.3947,0.3947
4500.0,0.0,0.3918,0.3918
4600.0,0.0,0.3909,0.3909
4700.0,0.0,0.3884,0.3884
4800.0,0.0,0.386,0.386
4900.0,0.0,0.3878,0.3878
5000.0,0.0,0.3837,0.3837
5100.0,0.0,0.3795,0.3795
5200.0,0.0,0.3778,0.3778
5300.0,0.0,0.3789,0.3789
5400.0,0.0,0.3734,0.3734
5500.0,0.0,0.3711,0.3711
5600.0,0.0,0.3729,0.3729
5700.0,0.0,0.3716,0.3716
5800.0,0.0,0.3693,0.3693
5900.0,0.0,0.3678,0.3678
6000.0,0.0,0.363,0.363
6100.0,0.0,0.3631,0.3631
6200.0,0.0,0.3609,0.3609
6300.0,0.0,0.3601,0.3601
6400.0,0.0,0.3564,0.3564
6500.0,0.0,0.3585,0.3585
6600.0,0.0,0.3571,0.3571
6700.0,0.0,0.3555,0.3555
6800.0,0.0,0.3568,0.3568
6900.0,0.0,0.3544,0.3544
7000.0,0.0,0.3527,0.3527
7100.0,0.0,0.3526,0.3526
7200.0,0.0,0.349,0.349
7300.0,0.0,0.3477,0.3477
7400.0,0.0,0.3472,0.3472
7500.0,0.0,0.3448,0.3448
7600.0,0.0,0.3464,0.3464
7700.0,0.0,0.3463,0.3463
7800.0,0.0,0.3462,0.3462
7900.0,0.0,0.3459,0.3459
8000.0,0.0,0.341,0.341
8100.0,0.0,0.3421,0.3421
8200.0,0.0,0.3401,0.3401
8300.0,0.0,0.3386,0.3386
8400.0,0.0,0.3381,0.3381
8500.0,0.0,0.3375,0.3375
8600.0,0.0,0.3353,0.3353
8700.0,0.0,0.3359,0.3359
8800.0,0.0,0.3332,0.3332
8900.0,0.0,0.3336,0.3336
9000.0,0.0,0.3296,0.3296
9100.0,0.0,0.3335,0.3335
9200.0,0.0,0.3286,0.3286
9300.0,0.0,0.3295,0.3295
9400.0,0.0,0.3297,0.3297
9500.0,0.0,0.3287,0.3287
9600.0,0.0,0.3301,0.3301
9700.0,0.0,0.3236,0.3236
9800.0,0.0,0.325,0.325
9900.0,0.0,0.3236,0.3236
10000.0,0.0,0.3252,0.3252
10100.0,0.0,0.3218,0.3218
10200.0,0.0,0.3244,0.3244
10300.0,0.0,0.3196,0.3196
10400.0,0.0,0.3176,0.3176
10500.0,0.0,0.3195,0.3195
10600.0,0.0,0.3202,0.3202
10700.0,0.0,0.3193,0.3193
10800.0,0.0,0.3192,0.3192
10900.0,0.0,0.3161,0.3161
11000.0,0.0,0.3178,0.3178
11100.0,0.0,0.315,0.315
11200.0,0.0,0.3168,0.3168
11300.0,0.0,0.3146,0.3146
11400.0,0.0,0.3134,0.3134
11500.0,0.0,0.3149,0.3149
11600.0,0.0,0.3136,0.3136
11700.0,0.0,0.3159,0.3159
11800.0,0.0,0.3117,0.3117
11900.0,0.0,0.3099,0.3099
12000.0,0.0,0.312,0.312
12100.0,0.0,0.3119,0.3119
12200.0,0.0,0.3098,0.3098
12300.0,0.0,0.3101,0.3101
12400.0,0.0,0.3067,0.3067
12500.0,0.0,0.307,0.307
12600.0,0.0,0.3066,0.3066
12700.0,0.0,0.3064,0.3064
12800.0,0.0,0.3052,0.3052
12900.0,0.0,0.3048,0.3048
13000.0,0.0,0.3079,0.3079
13100.0,0.0,0.3019,0.3019
13200.0,0.0,0.305,0.305
13300.0,0.0,0.3021,0.3021
13400.0,0.0,0.3007,0.3007
13500.0,0.0,0.304,0.304
13600.0,0.0,0.3011,0.3011
13700.0,0.0,0.2993,0.2993
13800.0,0.0,0.3,0.3
13900.0,0.0,0.2991,0.2991
14000.0,0.0,0.3005,0.3005
14100.0,0.0,0.2963,0.2963
14200.0,0.0,0.2977,0.2977
14300.0,0.0,0.2984,0.2984
14400.0,0.0,0.2945,0.2945
14500.0,0.0,0.2989,0.2989
14600.0,0.0,0.2964,0.2964
14700.0,0.0,0.2966,0.2966
14800.0,0.0,0.2965,0.2965
14900.0,0.0,0.2954,0.2954
15000.0,0.0,0.2949,0.2949
15100.0,0.0,0.2935,0.2935
15200.0,0.0,0.2923,0.2923
15300.0,0.0,0.2927,0.2927
15400.0,0.0,0.2944,0.2944
15500.0,0.0,0.2928,0.2928
15600.0,0.0,0.2935,0.2935
15700.0,0.0,0.2885,0.2885
15800.0,0.0,0.2879,0.2879
15900.0,0.0,0.2884,0.2884
16000.0,0.0,0.2903,0.2903
16100.0,0.0,0.2903,0.2903
16200.0,0.0,0.2881,0.2881
16300.0,0.0,0.2909,0.2909
16400.0,0.0,0.289,0.289
16500.0,0.0,0.2873,0.2873
16600.0,0.0,0.2882,0.2882
16700.0,0.0,0.2834,0.2834
16800.0,0.0,0.2887,0.2887
16900.0,0.0,0.2847,0.2847
17000.0,0.0,0.2865,0.2865
17100.0,0.0,0.2849,0.2849
17200.0,0.0,0.2832,0.2832
17300.0,0.0,0.2841,0.2841
17400.0,0.0,0.2823,0.2823
17500.0,0.0,0.2836,0.2836
17600.0,0.0,0.2838,0.2838
17700.0,0.0,0.2823,0.2823
17800.0,0.0,0.2804,0.2804
